author,commits,fixes,bugs,sign-off,test,review,report
Nathan Chancellor,312,120,2,317,28,75,24
Dave Jiang,312,24,10,362,9,21,12
Jack Morgenstein,312,64,15,372,1,37,4
Bob Peterson,311,3,2,494,5,25,3
Peter Huewe,311,6,0,443,7,42,3
Matthias Kaehlcke,310,19,4,329,43,116,14
Mike Marciniszyn,308,35,20,378,17,493,2
Mathieu Desnoyers,307,4,0,326,3,27,14
Trent Piepho,303,2,0,316,2,3,3
Andrii Nakryiko,301,66,46,300,4,1,7
Stephane Eranian,301,6,2,294,24,45,63
Andrea Arcangeli,296,22,3,350,2,86,20
Dmytro Laktyushkin,296,1,1,294,0,155,0
Icenowy Zheng,295,33,16,324,9,5,0
Changbin Du,295,27,1,261,0,1,3
Anand Jain,295,9,1,298,2,115,4
Konstantin Khlebnikov,294,44,3,303,3,13,16
Tom Zanussi,292,13,3,298,25,31,3
Barry Song,290,0,0,494,19,8,2
Manuel Lauss,289,2,1,288,11,0,11
Lorenzo Pieralisi,288,36,12,1001,45,42,10
Alexey Khoroshilov,287,9,0,288,0,1,13
Jose Abreu,286,61,44,290,1,53,1
Sean Wang,285,24,15,322,14,4,4
Mathias Nyman,284,28,8,607,0,1,0
Dinh Nguyen,283,3,2,437,46,0,9
Ivan Safonov,282,0,0,282,0,0,0
Christian Gromm,279,1,1,336,0,0,0
Neil Horman,279,0,0,284,1,9,6
Minchan Kim,276,14,3,298,7,220,14
Mathias Krause,276,25,1,276,0,1,6
Denys Vlasenko,275,1,1,281,2,0,11
Andy Whitcroft,274,3,0,311,3,3,9
Joe Thornber,274,11,1,292,0,2,2
Jisheng Zhang,273,17,2,287,23,12,4
John Garry,272,22,2,540,13,27,16
Baolin Wang,272,9,5,336,15,38,1
Andy Grover,272,0,0,288,2,23,7
Omar Sandoval,271,55,9,273,11,220,8
Paul Cercueil,271,11,6,286,1,11,0
Brian Masney,271,7,3,282,10,11,3
Kan Liang,267,35,16,301,53,8,12
Tariq Toukan,267,90,37,422,0,196,7
Stefano Stabellini,267,2,0,314,2,99,3
Johannes Thumshirn,264,17,3,282,17,1143,12
Andres Salomon,264,0,0,285,1,0,1
Corentin Labbe,262,29,8,400,38,2,5
Thomas Abraham,261,0,0,280,30,54,4
Eli Cohen,260,28,13,308,1,35,3
Jaroslav Kysela,260,3,0,1972,0,67,0
Luca Coelho,258,38,8,1892,0,2,2
Huang Shijie,258,2,1,265,10,2,5
Bob Copeland,257,6,0,283,6,9,6
Fengguang Wu,255,21,0,595,35,15,546
Thomas Zimmermann,252,12,10,255,2,10,1
Paolo Abeni,251,128,32,268,6,2,5
Olaf Hering,251,3,0,254,7,4,14
Simon Wunderlich,249,1,0,643,12,2,14
Monk Liu,246,0,0,284,0,80,0
Vasily Gorbik,246,20,7,429,1,13,1
Thomas Bogendoerfer,245,17,6,251,3,2,1
Mike Travis,245,1,0,355,0,5,4
Sasha Levin,244,13,0,359,67,2,148
Oded Gabbay,244,1,0,709,15,186,1
Huang Ying,241,11,2,215,1,15,12
Matt Roper,241,32,12,286,6,366,0
Laura Abbott,241,18,2,245,89,28,35
Zhenyu Wang,240,22,4,783,2,74,2
Felix Kuehling,240,6,0,408,0,462,0
Mimi Zohar,240,7,4,590,3,26,6
David Teigland,240,0,0,399,3,0,12
Joel Stanley,238,30,12,454,39,101,5
Hawking Zhang,237,0,0,243,0,483,0
Lubomir Rintel,237,16,6,242,10,7,2
Mathieu Poirier,237,4,1,585,34,81,6
Haiyang Zhang,236,20,6,903,1,150,2
Ben Greear,236,1,0,234,30,0,43
Michal Wajdeczko,235,2,0,242,1,108,0
Xiubo Li,234,2,1,240,5,19,0
Jan Glauber,233,2,1,258,13,7,7
Julian Anastasov,232,43,6,255,3,17,14
Nicolin Chen,231,7,1,234,5,3,3
Stanislav Fomichev,231,38,16,234,2,32,5
Vladimir Oltean,229,53,33,253,8,12,0
Nadav Amit,227,19,2,235,2,15,20
Sekhar Nori,226,13,0,981,50,41,10
Vlastimil Babka,225,35,7,243,5,6,17
Reinette Chatre,225,27,19,1074,11,7,17
David Miller,225,9,0,3,7,1,61
Kim Phillips,224,20,5,274,18,18,10
Yangtao Li,224,20,0,224,0,0,0
Kailang Yang,224,17,12,227,0,3,1
Leo Li,224,4,1,49,0,44,0
Matt Ranostay,224,7,5,134,1,15,1
Josh Boyer,223,1,0,517,14,12,29
Jyri Sarha,221,2,1,293,22,24,3
Inki Dae,220,1,0,1404,2,8,0
Jonas Gorski,219,26,2,231,7,3,7
Daniel Scheller,219,4,2,222,3,0,2
